"Time (ms)","Recording (a.u.)"
0.000000000E0,2.170123160E-3
2.083412250E-2,8.061738685E-3
4.166824501E-2,1.346435491E-2
6.250236751E-2,1.881867833E-2
8.333649002E-2,2.440300956E-2
1.041706125E-1,2.982208505E-2
1.250047350E-1,3.525630385E-2
1.458388575E-1,4.034371674E-2
1.666729800E-1,4.432969168E-2
1.875071025E-1,4.679624736E-2
2.083412250E-1,4.704264924E-2
2.291753476E-1,4.562537372E-2
2.500094701E-1,4.343297333E-2
2.708435926E-1,4.046703503E-2
2.916777151E-1,3.779055178E-2
3.125118376E-1,3.515692800E-2
3.333459601E-1,3.080693819E-2
3.541800826E-1,2.484875172E-2
3.750142051E-1,1.723369956E-2
3.958483276E-1,7.231950760E-3
4.166824501E-1,-4.753048997E-3
4.375165726E-1,-1.734807156E-2
4.583506951E-1,-2.994459681E-2
4.791848176E-1,-4.235985875E-2
5.000189401E-1,-5.313110352E-2
5.208530626E-1,-6.211605296E-2
5.416871851E-1,-7.001496851E-2
5.625213076E-1,-7.776604593E-2
5.833554301E-1,-8.725543320E-2
6.041895526E-1,-9.699209034E-2
6.250236751E-1,-1.065144837E-1
6.458577976E-1,-1.171662435E-1
6.666919201E-1,-1.257310659E-1
6.875260427E-1,-1.318256259E-1
7.083601652E-1,-1.371068656E-1
7.291942877E-1,-1.392481923E-1
7.500284102E-1,-1.384273767E-1
7.708625327E-1,-1.385676563E-1
7.916966552E-1,-1.401514113E-1
8.125307777E-1,-1.411153972E-1
8.333649002E-1,-1.424661428E-1
8.541990227E-1,-1.415466368E-1
8.750331452E-1,-1.355180442E-1
8.958672677E-1,-1.266654879E-1
9.167013902E-1,-1.143418103E-1
9.375355127E-1,-9.998020530E-2
9.583696352E-1,-8.631082624E-2
9.792037577E-1,-7.142694294E-2
1.000037880E0,-5.467306077E-2
1.020872003E0,-3.904323280E-2
1.041706125E0,-2.422711253E-2
1.062540248E0,-7.303624880E-3
1.083374370E0,8.997032419E-3
1.104208493E0,2.505619079E-2
1.125042615E0,4.336888343E-2
1.145876738E0,5.971836299E-2
1.166710860E0,7.353515178E-2
1.187544983E0,8.547791839E-2
1.208379105E0,9.338752925E-2
1.229213228E0,9.971916676E-2
1.250047350E0,1.067903265E-1
1.270881473E0,1.142825782E-1
1.291715595E0,1.241144389E-1
1.312549718E0,1.366276443E-1
1.333383840E0,1.483221054E-1
1.354217963E0,1.580039859E-1
1.375052085E0,1.653231680E-1
1.395886208E0,1.668368280E-1
1.416720330E0,1.637999117E-1
1.437554453E0,1.600767076E-1
1.458388575E0,1.546244025E-1
1.479222698E0,1.486352384E-1
1.500056820E0,1.428348422E-1
1.520890943E0,1.357448101E-1
1.541725065E0,1.280422509E-1
1.562559188E0,1.177314520E-1
1.583393310E0,1.046663970E-1
1.604227433E0,9.103652090E-2
1.625061555E0,7.815095037E-2
1.645895678E0,6.682747602E-2
1.666729800E0,5.753099918E-2
1.687563923E0,5.164945126E-2
1.708398045E0,4.618839920E-2
1.729232168E0,3.942664713E-2
1.750066290E0,3.243204206E-2
1.770900413E0,2.421125397E-2
1.791734535E0,1.657211035E-2
1.812568658E0,1.054812316E-2
1.833402780E0,6.958195940E-3
1.854236903E0,6.184038706E-3
1.875071025E0,6.561695132E-3
1.895905148E0,8.093543351E-3
1.916739270E0,8.564273827E-3
